Station;date;time (gmt);lat;long;water depth (m);depth (m);temp (C);sal;fluor;trans;dens;PAR;BATH
9;30.10.2014;14:16;50.52.218;001.22.282;7,6;6,25;12,227;32,6388;0,0639;1,769;1024,7413;5,32;16,1392
9;30.10.2014;14:16;50.52.218;001.22.282;7,6;6,5;12,2275;32,6525;0,0647;1,7549;1024,7529;4,26;16,1711
9;30.10.2014;14:16;50.52.218;001.22.282;7,6;6,75;12,2259;32,6574;0,0651;1,7317;1024,7581;3,5;16,2241
9;30.10.2014;14:16;50.52.218;001.22.282;7,6;7;12,2221;32,6631;0,0645;1,6948;1024,7644;2,89;16,3106
9;30.10.2014;14:16;50.52.218;001.22.282;7,6;7,25;12,2158;32,672;0,0661;1,699;1024,7735;1,96;16,3007
10;30.10.2014;14:47;50.52.214;001.22.284;7,2;0,25;12,3894;30,9001;0,0631;1,8672;1023,3361;953,22;15,919
10;30.10.2014;14:47;50.52.214;001.22.284;7,2;0,5;12,394;31,0081;0,0654;2,075;1023,4199;361,29;15,5015
10;30.10.2014;14:47;50.52.214;001.22.284;7,2;0,75;12,3881;31,107;0,0664;2,0178;1023,4989;273,76;15,6124
10;30.10.2014;14:47;50.52.214;001.22.284;7,2;1;12,3933;31,0868;0,0655;2,0366;1023,4832;240,68;15,5756
10;30.10.2014;14:47;50.52.214;001.22.284;7,2;1,25;12,3613;31,2951;0,0656;2,0464;1023,6518;206,12;15,5562
10;30.10.2014;14:47;50.52.214;001.22.284;7,2;1,5;12,3436;31,3255;0,0666;2,0122;1023,6798;172,59;15,6237
10;30.10.2014;14:47;50.52.214;001.22.284;7,2;1,75;12,3226;31,4394;0,0663;2,0033;1023,7732;141,24;15,6414
10;30.10.2014;14:47;50.52.214;001.22.284;7,2;2;12,3008;31,5525;0,0663;2,0095;1023,866;118,93;15,6292
10;30.10.2014;14:47;50.52.214;001.22.284;7,2;2,25;12,2848;31,6699;0,0667;2,0162;1023,961;101,66;15,6157
10;30.10.2014;14:47;50.52.214;001.22.284;7,2;2,5;12,272;31,7281;0,0657;2,0071;1024,0098;81,27;15,6338
10;30.10.2014;14:47;50.52.214;001.22.284;7,2;2,75;12,2573;31,7948;0,0657;1,9816;1024,0653;65,31;15,685
10;30.10.2014;14:47;50.52.214;001.22.284;7,2;3;12,2566;31,8452;0,0657;1,9655;1024,1058;56,19;15,7176
10;30.10.2014;14:47;50.52.214;001.22.284;7,2;3,25;12,2576;31,8926;0,066;1,9328;1024,1433;47,42;15,7849
10;30.10.2014;14:47;50.52.214;001.22.284;7,2;3,5;12,2558;31,9442;0,0663;1,8825;1024,1847;38,42;15,8902
10;30.10.2014;14:47;50.52.214;001.22.284;7,2;3,75;12,2447;32,0002;0,0669;1,8635;1024,2314;31,87;15,9309
10;30.10.2014;14:47;50.52.214;001.22.284;7,2;4;12,2252;32,0305;0,0681;1,9141;1024,2598;26,38;15,8243
10;30.10.2014;14:47;50.52.214;001.22.284;7,2;4,25;12,2103;32,0697;0,0674;1,9805;1024,294;21,76;15,687
10;30.10.2014;14:47;50.52.214;001.22.284;7,2;4,5;12,2087;32,0884;0,0669;1,9763;1024,31;18,55;15,6958
10;30.10.2014;14:47;50.52.214;001.22.284;7,2;4,75;12,2077;32,1061;0,0673;1,957;1024,325;15,23;15,7351
10;30.10.2014;14:47;50.52.214;001.22.284;7,2;5;12,209;32,1835;0,0683;1,9399;1024,3859;12,47;15,7701
10;30.10.2014;14:47;50.52.214;001.22.284;7,2;5,25;12,2147;32,3821;0,0695;1,8975;1024,5399;10,49;15,8584
10;30.10.2014;14:47;50.52.214;001.22.284;7,2;5,5;12,2218;32,5068;0,0682;1,8161;1024,6364;8,94;16,0338
10;30.10.2014;14:47;50.52.214;001.22.284;7,2;5,75;12,224;32,5333;0,0691;1,7608;1024,6578;7,34;16,1581
10;30.10.2014;14:47;50.52.214;001.22.284;7,2;6;12,2251;32,5515;0,0682;1,6822;1024,6728;5,89;16,341
10;30.10.2014;14:47;50.52.214;001.22.284;7,2;6,25;12,2262;32,5835;0,067;1,5746;1024,6985;4,75;16,605
10;30.10.2014;14:47;50.52.214;001.22.284;7,2;6,5;12,2279;32,6126;0,068;1,3944;1024,7219;3,68;17,1003
10;30.10.2014;14:47;50.52.214;001.22.284;7,2;6,75;12,2287;32,6091;0,0718;1,1237;1024,7201;2,57;17,9723
